,text,category,rank
17595,6 hour,SLEEP,2
17596,Slept 5 hours,SLEEP,1
17597,"Intention - lots of healthy food and positive thoughts. My parents are coming tomorrow, always a source of anxiety. The workout helped :)",FOOD,Can't rate
17598,Handling stress...the workouts helped ,STRESS,3
17599,120 oz of water ,WATER,4
17600,Worked out - boost and boxing,WORKOUT,3
17601,Breakfast was a protein shake ,FOOD,3
17602,"Good morning. I decided to repeat yesterday's workout, I'm now going to finish w/ the mile run ",WORKOUT,4
17603,8,SLEEP,4
17604,7 ,SLEEP,3
17605,Yes w Vin ,WORKOUT,Can't rate
17606,Good,FOOD,4
17607,On point,FOOD,4
17608,Handling,STRESS,3
17609,64 fo sho,WATER,4
17610,I killed it yet again today. 2020 going great thus far!,SLEEP,Can't rate
17611,Less than 5,SLEEP,1
17612,8 hours ,SLEEP,4
17613,Haven't even gotten out of bed yet ,WORKOUT,Can't rate
17614,Stress free Sunday ,STRESS,4
17615,6.5,SLEEP,2
17616,6!,SLEEP,2
17617,About 7 hrs ,SLEEP,3
17618,Didn't workout ,WORKOUT,Can't rate
17619,"I was able to get a lot done at home, zero stress literally zero!!!  

Better preparation for what I want to do the next day.",STRESS,Can't rate
17620,7 hrs of sleep ,SLEEP,3
17621,"Did not loose my cool with the kids, completely ",SLEEP,Can't rate
17622,64,WATER,4
17623,6.5,SLEEP,2
17624,5,SLEEP,2
17625,Not yet ,FOOD,1
17626,Stress free ,STRESS,4
17627,On point!,FOOD,4
17628,32,WATER,3
17629,7 hours ,SLEEP,3
17630,On point ,FOOD,4
17631,64oz for sure!,WATER,4
17632,6.5,SLEEP,2
17633,On point ,FOOD,4
17634,50,WATER,3
17635,No stress,STRESS,4
17636,Great day,FOOD,4
17637,9,SLEEP,4
17638,Stress free ,STRESS,4
17639,Almost perfect. ,FOOD,3
17640,64+,WATER,4
17641,Half marathon today.  1:41,WORKOUT,Can't rate
17642,"Ran a half marathon and did a bunch of work. 

Needed better recovery ",WORKOUT,3
17643,8,SLEEP,4
17644,6 hrs,SLEEP,2
17645,64 oz for sure ,WATER,4
17646,No,WORKOUT,1
17647,Less than 5 hours of sleep ,SLEEP,1
17648,"Workout was good - did build, had to work out at 6",WORKOUT,Can't rate
17649,6,SLEEP,2
17650,5:30 ,SLEEP,2
17651,11,SLEEP,4
17652,6am,WORKOUT,Can't rate
17653,Great,SLEEP,Can't rate
17654,Yes - hamstrings and flutes especially. Shoulders a bit. Been stretching this morning!,WORKOUT,Can't rate
17655,Heading out for a walk with Beth right now 😊,WATER,Can't rate
17656,Stress free,STRESS,4
17657,7,SLEEP,3
17658,Need to step it up,FOOD,2
17659,76oz,WATER,4
17660,I ate my feelings today ,FOOD,Can't rate
17661,6 hrs ,SLEEP,2
17662,6 hour s,SLEEP,2
17663,Stress free,STRESS,4
17664,Personal growth,SLEEP,Can't rate
17665,Food quality: not good ,FOOD,4
17666,Yesterday: 96oz down,WATER,4
17667,112oz no,WATER,4
17668,9,SLEEP,4
17669,Slept 7 hours ,SLEEP,3
17670,Did 40 burpees ,WATER,3
17671,6 hours ,SLEEP,2
17672,8,SLEEP,4
17673,8,SLEEP,4
17674,On point ,FOOD,4
17675,Stress free ,STRESS,4
17676,62 oz,WATER,3
17677,Overwhelmed ,STRESS,2
17678,6,SLEEP,2
17679,Somewhat ,SLEEP,Can't rate
17680,Almost perfect ,FOOD,3
17681,6 hours sleep ,SLEEP,2
17682,7.5 hrs ,SLEEP,4
17683,I did. Ran a half marathon ,WORKOUT,3
17684,Food on point,FOOD,4
17685,8hrs,SLEEP,4
17686,Handled stress,STRESS,3
17687,32oz,WATER,3
17688,6:30,SLEEP,2
17689,10:00,SLEEP,4
17690,7:00am,SLEEP,3
17691,Didn't workout-no voice and sore throat,WORKOUT,1
17692,"My Sunday was relaxing and productive. Traveled home, planned my next few days of appointments and prepared for a busy of week. Decided to hire a professional coach and feel really excited about 2020 professionally, physically and emotionally. ",STRESS,Can't rate
17693,5 hours,SLEEP,2
17694,"6.5, very broken sleep ",SLEEP,2
17695,Taking 8:30 boost,WORKOUT,Can't rate
17696,"Feeling better, it took a little while but I'm much better now. Thank you very much for looking out for me and for the chocolate milk.  ",FOOD,2
17697,Food is ok so far,FOOD,Can't rate
17698,"Water is at 96oz
Food was better but waaay to many carbs
Time was managed well 
Intentions were met ",FOOD,4
17699,Handled,STRESS,3
17700,7 hours,SLEEP,3
17701,I worked out,WORKOUT,3
17702,I am eating Whole Foods,FOOD,Can't rate
17703,Can still save the day,STRESS,Can't rate
17704,Yes I did ,WORKOUT,Can't rate
17705,6,SLEEP,2
17706,Almost perfect ,FOOD,3
17707,6,SLEEP,2
17708,Sips,WATER,2
17709,On point,FOOD,4
17710,6 hours of sleep ,SLEEP,2
17711,Stress free ,STRESS,4
17712,Almost perfect,FOOD,3
17713,Good ,FOOD,4
17714,8+,SLEEP,4
17715,6 hrs,SLEEP,2
17716,Yes 32 down ,WATER,3
17717,Too tired,STRESS,Can't rate
17718,5,SLEEP,2
17719,Not yet ,FOOD,1
17720,Stress free ,STRESS,4
17721,On point ,FOOD,4
17722,64,WATER,4
17723,6+,SLEEP,2
17724,7,SLEEP,3
17725,Yes,WORKOUT,Can't rate
17726,6 hrs. Work out done ✅ ,SLEEP,2
17727,Ok:),WORKOUT,Can't rate
17728,almost perfect ,FOOD,3
17729,Didn't workout ,WORKOUT,Can't rate
17730,Stress free and productive ,STRESS,4
17731,38-64oz,WATER,4
17732,7+ ,WORKOUT,Can't rate
17733,8,SLEEP,4
17734,"Not yet and less than 5, had a late flight and delays",SLEEP,2
17735,On point,FOOD,4
17736,64 for sure,WATER,4
17737,Handled whatwas thrown my way well,STRESS,3
17738,5,SLEEP,2
17739,Handling,STRESS,3
17740,On point,FOOD,4
17741,64 fo sho,WATER,4
17742,7!,SLEEP,3
17743,9,SLEEP,4
17744,On point,FOOD,4
17745,Stress free,STRESS,4
17746,64 for sure,WATER,4
17747,Stress free,STRESS,4
17748,8+ needed it,SLEEP,4
17749,No...taking today off to stretch and rest,WORKOUT,Can't rate
17750,90 oz,WATER,4
17751,I'm at 123 lbs,WATER,4
17752,"Food is ok, probably should eat something else ",FOOD,Can't rate
17753,No not yet ,FOOD,1
17754,64 oz,WATER,4
17755,"Yes, I worked out this morning. ",WORKOUT,3
17756,Feeling overwhelmed because I have so much to do today. ,STRESS,2
17757,5 hours ,SLEEP,1
17758,My food wasn't great and I haven't been feeling great since rowing has ended because I feel like I lost sight of my goal and didn't eat/drink how I should have and would have if I had practice ,FOOD,4
17759,Drank 32 oz ,WATER,3
17760,8+ needed it,SLEEP,4
17761,No...taking today off to stretch and rest,WORKOUT,Can't rate
17762,9 blissful hours NINE,SLEEP,4
17763,"I promise tomorrow I'll be back on my game but today devolved into narcotics and shopping, I'm disappointed in myself and have literally no fun money until 2020.
",WATER,4
17764,7,SLEEP,3
17765,"Highlight: was able to come home surprise grandparents 
Better: eat a little healthier",FOOD,Can't rate
17766,7 hrs ,SLEEP,3
17767,"Stress free, 64 for sure and fasting until dinner",STRESS,4
17768,Handled what was thrown my way well ,STRESS,3
17769,Food needed To be stepped up (vacation),FOOD,Can't rate
17770,64 for sure ,WATER,4
17771,Did well: got myself to sleep at a reasonable time,SLEEP,1
17772,Yes,WORKOUT,Can't rate
17773,9 hours! ,SLEEP,4
17774,"I worked out at rowing we did our usual warmup (1.5 mile run, 20 minute erg full press) and then went out and did harder pieces on the water",WATER,1
17775,5.5,SLEEP,1
17776,6 hours ,SLEEP,2
17777,Overwhelmed ,STRESS,2
17778,5 hours ,SLEEP,2
17779,6.5 hrs ,SLEEP,3
17780,Yes,WORKOUT,Can't rate
17781,8+,SLEEP,4
17782,Handled what was thrown my way ,STRESS,3
17783,Yes ,WORKOUT,Can't rate
17784,5,SLEEP,2
17785,I feel like I made progress. With thanksgiving I got derailed with workouts but will be right back on it. I like to hit 3-4 workouts in a week,WORKOUT,Can't rate
17786,7 1/2,SLEEP,3
17787,7,SLEEP,3
17788,No yet ,FOOD,1
17789,"I’d like to inform you when I plan to workout, have deep focus time, drink water etc so that the questions Verb asks me check in after I should have done those. As a reward. I like getting asked if I’ve workout out yet too, but I may like it more as a reward to share after I’ve done it. ",WATER,Can't rate
17790,Very stressed. But it's good stress. ,STRESS,1
17791,Eustress ,STRESS,Can't rate
17792,Liked “Weekly review:  you answered around 30 percent of our daily questions.  Get that up a little and we can give you a good weekly review!”,WATER,2
17793,Stress is derailed,STRESS,2
17794,"Didn't do anything. Good.

Ate some chips. Bad.",FOOD,4
17795,Missed prior message about the salt until now. Never heard of that.  I'll stop within the next month or two.,FOOD,4
17796,Sips,WATER,2
17797,"Cooked an unbelievable rack of lamb.

Didn't drink much water.",WATER,3
17798,7,SLEEP,3
17799,On point,FOOD,4
17800,Stress free for now ,STRESS,4
17801,Need to step it up,FOOD,2
17802,Only 32oz,WATER,3
17803,Water has been one of the things I always owned and last week I struggled with that also. ,WATER,Can't rate
17804,Yes,WORKOUT,Can't rate
17805,"Had a great workout with coach Pat. Rehearsed what a Boost class would feel like and I think I could attempt without deeply embarrassing myself.
Had some pills but now they're gone. And I did some Jedi mind tricks to manage this and assuming I'm not delusional I may be okay.
",WORKOUT,Can't rate
17806,8,SLEEP,4
17807,Yes,WORKOUT,4
17808,Handled ,STRESS,3
17809,Almost perfect ,FOOD,3
17810,7,SLEEP,3
17811,Yes ,WORKOUT,4
17812,Got 8 hours of sleep,SLEEP,4
17813,On point so far - protein shake and salad with pork tenderloin,FOOD,4
17814,Slept 6 hours,SLEEP,2
17815,Yes workout out - boost/build,WORKOUT,Can't rate
17816,Food is almost perfect ,FOOD,3
17817,I'm handling it. I'm waaaay in my head lately,STRESS,3
17818,6,SLEEP,2
17819,5 hours,SLEEP,1
17820,I drank more water than usual yesterday. Need to get to the gym in the morning though. Switching to a gym next to my work to make it easier and more efficient ,WATER,Can't rate
17821,Stress free!,STRESS,4
17822,6 ,SLEEP,2
17823,8+,SLEEP,4
17824,I had a happy meal after my bike ride today,FOOD,3
17825,zero,STRESS,Can't rate
17826,Yes,WORKOUT,4
17827,Stress free ,STRESS,4
17828,5.5,SLEEP,2
17829,Yes ,WORKOUT,Can't rate
17830,On point ,FOOD,4
17831,Overwhelmed ,STRESS,2
17832,Need to step it up ,FOOD,2
17833,Good,FOOD,4
17834,8,SLEEP,4
17835,7+,SLEEP,3
17836,Working out,WORKOUT,3
17837,"Yes. Pls. Let's start w/ quick workouts again, then work back up ",WORKOUT,Can't rate
17838,Handled what was thrown my way ,STRESS,3
17839,Almost perfect ,FOOD,3
17840,"Still eating decent, def back to eating Reece's but it's Halloween ",FOOD,Can't rate
17841,No verb ,WORKOUT,Can't rate
17842,"Almost perfect

32 oz but needed more today

Handled what was thrown my way

Spent 1/2 day with son and helped him set up his apartment 

Reached out to clients I saw this week to touch base to see how they are doing 






",WATER,1
17843,7,SLEEP,3
17844,Yes ,WORKOUT,Can't rate
17845,6. ,SLEEP,2
17846,80+,WATER,4
17847,Stress free ,STRESS,4
17848,On point ,FOOD,4
17849,Good ,FOOD,4
17850,80+,WATER,4
17851,O didn't eat past 8,FOOD,Can't rate
17852,6 ,WORKOUT,Can't rate
17853,Yes ,FOOD,Can't rate
17854,Sleep was 6.5 hours ,SLEEP,3
17855,6,SLEEP,2
17856,Handling ,STRESS,3
17857,On point ,FOOD,4
17858,No enough actually. ,WATER,2
17859,70,WATER,4
17860,Yes Judo ,WORKOUT,Can't rate
17861,8 hours of shut eye,SLEEP,4
17862,Stress free today! Drank a lot as well,STRESS,4
17863,I think what i ate I only had a chicken wrap ,FOOD,3
17864,No not yet I'm going to go to the AC track after I have physical therapy ,WORKOUT,Can't rate
17865,Good I had a smoothie for breakfast and sushi roll for lunch,FOOD,4
17866,"In PT I did those leg push things against the weighted machine, squats, some hard but short erging, and biking (half jog half string)",WORKOUT,Can't rate
17867,I erged today!! Yay. But I didnt eat much ,FOOD,1
17868,7 hours ,SLEEP,3
17869,Food is on point ,FOOD,4
17870,64oz for sure,WATER,4
17871,Handled what was thrown my way,STRESS,3
17872,Yes I worked out tofay ,WORKOUT,3
17873,"Well: ate well, worked out and was productive Better: could have tried to relax more ",WORKOUT,3
17874,Handled what was thrown my way,STRESS,3
17875,8+ hours,SLEEP,4
17876,On point,FOOD,4
17877,7hrs,SLEEP,3
17878,Stress free!,STRESS,4
17879,64oz of water.,WATER,4
17880,Food was almost perfect.,FOOD,3
17881,6 hours. ,SLEEP,2
17882,Not yet ,FOOD,1
17883,Handled it so far ,STRESS,3
17884,Need to step it up ,FOOD,2
17885,90 ozs ,WATER,4
17886,Stress free!,STRESS,4
17887,"Handled jet lag pretty well today. 

Did almost no admin work.  I need to redo Monday's ",STRESS,2
17888,6 ,SLEEP,2
17889,Not yet.  Check back later ,WORKOUT,Can't rate
17890,On point ,FOOD,4
17891,64,WATER,4
17892,Stress free,STRESS,4
17893,6,SLEEP,2
17894,Almost perfect,FOOD,3
17895,32,WATER,3
17896,Not stressed ,STRESS,1
17897,10,SLEEP,4
17898,Drank a lot,STRESS,Can't rate
17899,Didn't eat enough ,FOOD,1
17900,6 ,SLEEP,2
17901,Not yet ,WORKOUT,Can't rate
17902,Yesterday's food and water were on point ,FOOD,4
17903,Slept 8 hours last night ,SLEEP,4
17904,Yes - build ,WORKOUT,4
17905,7 hrs ,SLEEP,3
17906,Handling what is thrown my way ,STRESS,3
17907,Nope ,WORKOUT,1
17908,7,SLEEP,3
17909,5.5 hrs ,SLEEP,2
17910,Handling whatever is thrown at me ,STRESS,3
17911,48+,WATER,3
17912,"Not great, but ok",FOOD,4
17913,Yes,WORKOUT,Can't rate
17914,Handling ,STRESS,3
17915,7,SLEEP,3
17916,7 hours ,SLEEP,3
17917,Almost perfect ,FOOD,3
17918,Ate some chips ,FOOD,3
17919,CArbs baby carbs ,FOOD,Can't rate
17920,64,WATER,4
17921,8+,SLEEP,4
17922,Stress free,STRESS,4
17923,On point,FOOD,4
17924,64oz for sure,WATER,4
17925,Stress free ,STRESS,4
17926,6.5,SLEEP,2
17927,Progress ,STRESS,Can't rate
17928,8+ hours,SLEEP,4
17929,On point,FOOD,4
17930,Stress free,STRESS,4
17931,64 oz. light work,WATER,4
17932,Dude water is like my thing,WATER,Can't rate
17933,I'm drinking alcohol ,WATER,Can't rate
17934,Shut up ,WORKOUT,Can't rate
17935,7.5,SLEEP,3
17936,7 hours,SLEEP,3
17937,I will workout today ,WORKOUT,Can't rate
17938,Stress free,STRESS,4
17939,On point,FOOD,4
17940,48,WATER,3
17941,Yes,WORKOUT,Can't rate
17942,Not good,FOOD,1
17943,Yesterday was stress free,STRESS,4
17944,Yesterday I had 64oz of water,WATER,4
17945,I got 8+ hours of sleep last night ,SLEEP,4
17946,Stress free,STRESS,4
17947,I worked out yesterday ,WORKOUT,3
17948,64oz for sure,WATER,4
17949,Yes I have been eating more fruit and clean foods in my snacks rather than cheese and gummies ,FOOD,4
17950,Handled ,STRESS,3
17951,7,SLEEP,3
17952,On point ,FOOD,4
17953,6,SLEEP,2
17954,8+,SLEEP,4
17955,"Survived.

Should have worked out (but couldn't no time).",WORKOUT,3
17956,8,SLEEP,4
17957,Stress free,STRESS,4
17958,On point,FOOD,4
17959,64oz for sure,WATER,4
17960,Yes,WORKOUT,Can't rate
17961,6,SLEEP,2
17962,Stress free ,STRESS,4
17963,On point ,FOOD,4
17964,64 oz,WATER,4
17965,5 hrs,SLEEP,1
17966,8+,SLEEP,4
17967,Slept 8 hours,SLEEP,4
17968,7 hrs,SLEEP,3
17969,7,SLEEP,3
17970,Need to step it up,FOOD,2
17971,7 hrs,SLEEP,3
17972,Stress free,STRESS,4
17973,On point ,FOOD,4
17974,6.5 hours ,SLEEP,3
17975,8 hrs ,SLEEP,4
17976,My food was Almost perfect - had some candy - starting tomorrow no more! ,FOOD,3
17977,32 oz water ,WATER,3
17978,7,SLEEP,3
17979,Not yet ,FOOD,1
17980,64+,WATER,4
17981,Got a workout in with such a small window. Wasn't much but prioritized getting something in. Got stressed mid day when I shouldn't have. ,STRESS,1
17982,Slept 7 hours ,SLEEP,3
17983,I did workout - build ,WORKOUT,Can't rate
17984,7,SLEEP,3
17985,7 ,SLEEP,3
17986,Not yet ,FOOD,1
17987,For food I had avocado toast with an egg and vegistablrs for breakfast,FOOD,3
17988,A banana for lunch bc I was babysitting ,FOOD,4
17989,And early dinner of a salad with pears lettuce walnuts cheese and steak,FOOD,3
17990,Stress free,STRESS,4
17991, 6.5,SLEEP,2
17992,Yes,WORKOUT,Can't rate
17993,On point,FOOD,4
17994,7 hours,SLEEP,3
17995,64 oz for sure ,WATER,4
17996,8hrs,SLEEP,4
17997,7.1,SLEEP,3
17998,Less than 5,SLEEP,1
17999,"
Didn't",WORKOUT,Can't rate
18000,On point ,FOOD,4
18001,Stress free ,STRESS,4
18002,64,WATER,4
18003,10,SLEEP,4
18004,I will ,WORKOUT,Can't rate
18005,Yesterday: I didn't use any opioids or narcotics despite being hysterical all day. I ate some carbs but not even a lot.,FOOD,Can't rate
18006,6.5 hours ,SLEEP,3
18007,Not yet ,FOOD,1
18008,Stress free ,STRESS,4
18009,80 ozs ,WATER,4
18010,8+,SLEEP,4
18011,Not enough water ,WATER,2
18012,6 hrs. ,SLEEP,2
18013,I stretched for 15 min. ,WATER,1
18014,Stress free,STRESS,4
18015,8+,SLEEP,4
18016,I’m driving with Do Not Disturb While Driving turned on. I’ll see your message when I get where I’m going.,FOOD,Can't rate
18017,Got up early worked out hard. Went a little crazy with dinner last night.,WORKOUT,3
18018,This week no sugar which is a start ,FOOD,3
18019,Got a 20 min pump in ,SLEEP,Can't rate
18020,7,SLEEP,3
18021,6 hours. ,SLEEP,2
18022,6 hrs,SLEEP,2
18023,6 hours ,SLEEP,2
18024,8,SLEEP,4
18025,Almost perfect,FOOD,3
18026,Handled what was thrown my way well,STRESS,3
18027,64,WATER,4
18028,Walked about 3 miles today in Boston. Drank too much wine ,WORKOUT,3
18029,7,SLEEP,3
18030,Didn't,WORKOUT,Can't rate
18031,Not good. ,FOOD,4
18032,Stress free ,STRESS,4
18033,7,SLEEP,3
18034,6,SLEEP,2
18035,On point ,FOOD,4
18036,Stress free ,STRESS,4
18037,"7.5 hrs but it wasn't straight, I was up a few times. ",SLEEP,4
18038,Yes,WORKOUT,4
18039,Handled ,STRESS,3
18040,On point ,FOOD,4
18041,8+,SLEEP,4
18042,Skiing today. Haven't started yet ,WORKOUT,Can't rate
18043,"No, spent 4 hours in the cold fixing the mess of my failed first boat winterization project.  My fingers were about to fall off ",SLEEP,1
18044,Stress free,STRESS,4
18045,8,SLEEP,4
18046,Shitty,FOOD,1
18047,7 hours sleep ,SLEEP,3
18048,"Quality of food today was good up until late afternoon.
Breakfast- large cold brew 
Mid morning-Double espresso
Lunch - grilled chicken on roll 
Afternoon - double espresso 
Dinner - grilled chicken over rice
Tv Snack: cupcake ",FOOD,4
18049,7,SLEEP,3
18050,8+ hrs,SLEEP,4
18051,8,SLEEP,4
18052,Yes ran 5.6 miles,SLEEP,2
18053,On point,FOOD,4
18054,Stress free ,STRESS,4
18055,6,SLEEP,2
18056,Handled ,STRESS,1
18057,64+,WATER,4
18058,6.5,SLEEP,2
18059,Stress free,STRESS,4
18060,On point,FOOD,4
18061,50,WATER,3
18062,I ate too much tonight ,FOOD,Can't rate
18063,I cooked a wonderful dinner for my sister in laws birthday.,FOOD,3
18064,Yes,WORKOUT,Can't rate
18065,Raphael Haddock ,FOOD,Can't rate
18066,6am,SLEEP,Can't rate
18067,11pm,SLEEP,Can't rate
18068,7am,SLEEP,Can't rate
18069,Could have walked more only want 3 miles need 6,WORKOUT,Can't rate
18070,64 ,WATER,4
18071,5,SLEEP,3
18072,37,WATER,3
18073,8,SLEEP,4
18074,zero ,STRESS,Can't rate
18075,not bad,FOOD,Can't rate
18076,7 hours,SLEEP,3
18077,On point,FOOD,4
18078,8 hours,SLEEP,4
18079,Stress is work related but nothing too crazy ,STRESS,Can't rate
18080,Stress free,STRESS,4
18081,Georgette is working out great so far. She has me on a reverse diet so I'm eating a lot actually. ,FOOD,4
18082,"Stress free
Yes cf
I enjoyed my Saturday.
Ate a little more",STRESS,4
18083,8.5 amazing hours ,SLEEP,4
18084,"Stress free 
32",STRESS,4
18085,Nope ,FOOD,Can't rate
18086,6 hours ,SLEEP,2
18087,On point ,WATER,Can't rate
18088,8 ,SLEEP,4
18089,6,SLEEP,2
18090,7,SLEEP,3
18091,I slept 7 hours ,SLEEP,3
18092,Need to step it up,FOOD,2
18093,"Yesterday. I was able to optimize my work, get things done and also create content and covers for my friends social media. One thing I could have done better was to prepare for lifting heavier more. I pulled my back out because I did not warm up good enough ",SLEEP,Can't rate
18094,6,SLEEP,2
18095,Yes,WORKOUT,Can't rate
18096,8 ,SLEEP,4
18097,Very hard but so fun and exciting !! Came .03 off of requalifying for next year but I'm not mad about it it was a sick experience. ,SLEEP,1
18098,Stress free ,STRESS,4
18099,Need to step up,FOOD,2
18100,64,WATER,4
18101,8,SLEEP,4
18102,Didn't ,WORKOUT,Can't rate
18103,Rest day,WORKOUT,Can't rate
18104,Less than ,SLEEP,1
18105,Today? None yet. Doctors appointment at 9 so I couldn't eat,SLEEP,4
18106,Working out after work ,WORKOUT,3
18107,8+ hours ,SLEEP,4
18108,Need to step it up,FOOD,2
18109,A few sips here and there but not enough ,WATER,2
18110,Handled what was thrown my way ,STRESS,3
18111,"Just finished my workout, doing them in a sec ",WORKOUT,Can't rate
18112,7,SLEEP,3
18113,Almost perfect,FOOD,3
18114,None dehydrated for sure,WATER,3
18115,9 hrs,SLEEP,4
18116,8,SLEEP,4
18117,On point ,FOOD,4
18118,8 hours ,SLEEP,4
18119,6 ,SLEEP,2
18120,Overwhelmed ,STRESS,2
18121,Less than 5,SLEEP,2
18122,No,WORKOUT,Can't rate
18123,On point ,FOOD,4
18124,60,WATER,3
18125,7 hrs ,SLEEP,3
18126,Slept 6 hours,SLEEP,2
18127,Otherwise it's been a good day - fairly stress free and food on point ,FOOD,4
18128,Good,FOOD,4
18129,64,WATER,4
18130,5,SLEEP,1
18131,Cheated 3,FOOD,Can't rate
18132,Busy 2,WORKOUT,Can't rate
18133,I worked out hard. I could have slept more.,SLEEP,4
18134,6.5,SLEEP,2
18135,7 ,SLEEP,3
18136,6.5 hrs,SLEEP,3
18137,Almost perfect,FOOD,3
18138,44,WATER,3
18139,Handled what was thrown my way well,STRESS,3
18140,Almost perfect,FOOD,3
18141,64 oz,WATER,4
18142,7 hours,SLEEP,3
18143,I worked hard to complete a modified workout on account of my busted up glute. It felt good and loosened things up. I hope it heals up very soon!,WORKOUT,Can't rate
18144,Great workout. Blueprint without with Butters. ,WORKOUT,Can't rate
18145,Handled what was thrown,STRESS,Can't rate
18146,8,SLEEP,4
18147,No,WORKOUT,1
18148,8 hours ,SLEEP,4
18149,Didn't workout yet ,WORKOUT,Can't rate
18150,Need to step it up,FOOD,2
18151,Drank water,WATER,Can't rate
18152,Handling,STRESS,3
18153,Less than 5,SLEEP,1
18154,No,STRESS,Can't rate
18155,6 hours of sleep,SLEEP,2
18156,Intention for the week...clean eating until Thursday ,FOOD,4
18157,7,SLEEP,3
18158,8 hrs,SLEEP,4
18159,On point,FOOD,4
18160,Stress free,STRESS,4
18161,But I'll make the water up soon,WATER,Can't rate
18162,Great! Love Butters! So hilarious 👊🏻,WORKOUT,Can't rate
18163,Handled,STRESS,3
18164,6 hours,SLEEP,2
18165,Yes,WORKOUT,4
18166,Yes,FOOD,Can't rate
18167,48,WATER,3
18168,Less than 5,SLEEP,1
18169,Almost perfect,FOOD,3
18170,7 hours,SLEEP,3
18171,No workout today,WORKOUT,1
18172,I tried to keep stress levels down today!,STRESS,Can't rate
18173,Handled what was thrown,STRESS,Can't rate
18174,Between 32 and 64 oz,WATER,4
18175,7,SLEEP,3
18176,Stress free,STRESS,4
18177,6.8,SLEEP,2
18178,Busy ,STRESS,Can't rate
18179,I got 8,SLEEP,4
18180,I will do the wod later,WORKOUT,Can't rate
18181,Uni point,FOOD,4
18182,7,SLEEP,3
18183,Didn't ,WORKOUT,Can't rate
18184,Need to step it up ,FOOD,2
18185,6 hours ,SLEEP,2
18186,Didn't workout ,WORKOUT,Can't rate
18187,8 hrs,SLEEP,4
18188,6.5,SLEEP,2
18189,7,SLEEP,3
18190,Less than 5,WORKOUT,Can't rate
18191,7.5 hours,SLEEP,4
18192,Good workout. 3.5 miles intervals outside,WORKOUT,Can't rate
18193,Yes.... by the beach. It's my favorite Florida morning workout,WORKOUT,4
18194,"Food was bad, had a slice of pizza!",FOOD,2
18195,32 oz down,WATER,3
18196,Less than 5 hrs,SLEEP,1
18197,Didn’t workout yet,WORKOUT,Can't rate
18198,Handled it! ,STRESS,Can't rate
18199,64oz down,WATER,4
18200,"Need to step it up. 
Not enough food! ",FOOD,2
18201,64oz down,WATER,4
18202,Need to step it up! ,FOOD,2
18203,64oz for sure ,WATER,4
18204,96oz yes,WATER,4
18205,"Time mgmt.... waaaaay off I'm still up at almost 3am! Baking cakes, cleaning, laundry and wine!",FOOD,4
18206,Did not hit 96oz ,WATER,4
18207,8,SLEEP,4
18208,6 hrs,SLEEP,2
18209,7.5,SLEEP,3
18210,Stress free,STRESS,4
18211, 6.5,SLEEP,2
18212,Yes,WORKOUT,Can't rate
18213,Stress free,STRESS,4
18214,Good workout did 4 x 2500m at a set pace she wanted each of us to beat it was the hardest workout for me so far ,WORKOUT,Can't rate
18215,"Ate well I had 2 eggs and an English muffin for breakfast, a 70 Calorie protein bar for snack, salad for lunch, and rice and chicken from Trader Joe's for dinner ",FOOD,3
18216,Stress free,STRESS,4
18217,8+,SLEEP,4
18218,No rest day,WORKOUT,Can't rate
18219,I’m driving with Do Not Disturb While Driving turned on. I’ll see your message when I get where I’m going.,FOOD,Can't rate
18220,64,STRESS,Can't rate
18221,Got 5 hours sleep ,SLEEP,2
18222,No workout ,WORKOUT,1
18223,"Need
To
Step
Up food ",FOOD,2
18224,I got 7 hours sleep ,SLEEP,3
18225,Stress is low,STRESS,1
18226,Slept 6 hours ,SLEEP,2
18227,Did not work out,WORKOUT,1
18228,8 hours,SLEEP,4
18229,7+,SLEEP,3
18230,7 hours ,SLEEP,3
18231,5 hrs,SLEEP,2
18232,Stress free,STRESS,4
18233,"Workout was good! Extra work on the bike, 30 min / 300 cals! 💪🏼🤩",WORKOUT,4
18234,Yes,WORKOUT,Can't rate
18235,Need to step it up,FOOD,2
18236,I had 64+,WATER,4
18237,"Had a positive day today, I've been really trying to work having a positive mindset. For the most part everything was well until an hour ago. Dealing with some stress but really trying to handle it. ",STRESS,Can't rate
18238,I had 2 eggs with a slice of whole grain bread and 1/4 of an avocado. ,FOOD,3
18239,I just got home and going to eat lunch,FOOD,Can't rate
18240,Lunch was chicken stir fry,FOOD,3
18241,Yes,WORKOUT,4
18242,"Didn't workout
",WORKOUT,Can't rate
18243,7hrs,SLEEP,3
18244,5hours,SLEEP,2
18245,6,SLEEP,2
18246,8+ hours,SLEEP,4
18247,On point,FOOD,4
18248,Stress free,STRESS,4
18249,8,SLEEP,4
18250,8 hours ,SLEEP,4
18251,Almost perfect ,FOOD,3
18252,Stress free ,STRESS,4
18253,Stress free ,STRESS,4
18254,6,SLEEP,2
18255,About to workout yes ,WORKOUT,Can't rate
18256,Food quality is great. A bit too much coffee tho ,FOOD,4
18257,4 hours ,SLEEP,1
18258,Working to close some deals. Hit quota for the first time this month and should be able to get some more in to get a nice pay check. ,WORKOUT,Can't rate
18259,Stress free ,STRESS,4
18260,On point ,FOOD,4
18261,61/2 hours ,SLEEP,1
18262,About 7 ,SLEEP,3
18263,8,SLEEP,4
18264,32 oz ,WATER,3
18265,Stress free,STRESS,4
